{'Mean Episode Return': Array(18.915455, dtype=float32), 'Mean Episode Length': Array(48.02884, dtype=float32)} step=5171200
{'Mean Episode Return': Array(18.83078, dtype=float32), 'Mean Episode Length': Array(47.795044, dtype=float32)} step=5222400
{'Mean Episode Return': Array(18.807016, dtype=float32), 'Mean Episode Length': Array(48.975098, dtype=float32)} step=5273600
{'Mean Episode Return': Array(19.06153, dtype=float32), 'Mean Episode Length': Array(47.95113, dtype=float32)} step=5324800
{'Mean Episode Return': Array(19.120224, dtype=float32), 'Mean Episode Length': Array(48.714554, dtype=float32)} step=5376000
{'Mean Episode Return': Array(19.366396, dtype=float32), 'Mean Episode Length': Array(49.71893, dtype=float32)} step=5427200
{'Mean Episode Return': Array(19.367252, dtype=float32), 'Mean Episode Length': Array(48.930595, dtype=float32)} step=5478400
{'Mean Episode Return': Array(19.195642, dtype=float32), 'Mean Episode Length': Array(48.757492, dtype=float32)} step=5529600
{'Mean Episode Return': Array(17.978455, dtype=float32), 'Mean Episode Length': Array(47.46045, dtype=float32)} step=5580800
{'Mean Episode Return': Array(16.028955, dtype=float32), 'Mean Episode Length': Array(47.325603, dtype=float32)} step=5632000
{'Mean Episode Return': Array(14.267765, dtype=float32), 'Mean Episode Length': Array(47.566177, dtype=float32)} step=5683200
{'Mean Episode Return': Array(12.654006, dtype=float32), 'Mean Episode Length': Array(47.592007, dtype=float32)} step=5734400
{'Mean Episode Return': Array(12.130244, dtype=float32), 'Mean Episode Length': Array(46.812035, dtype=float32)} step=5785600
{'Mean Episode Return': Array(12.819916, dtype=float32), 'Mean Episode Length': Array(47.957405, dtype=float32)} step=5836800
{'Mean Episode Return': Array(11.953552, dtype=float32), 'Mean Episode Length': Array(47.694626, dtype=float32)} step=5888000
{'Mean Episode Return': Array(11.895283, dtype=float32), 'Mean Episode Length': Array(47.923077, dtype=float32)} step=5939200
{'Mean Episode Return': Array(13.229648, dtype=float32), 'Mean Episode Length': Array(49.09381, dtype=float32)} step=5990400
{'Mean Episode Return': Array(13.947028, dtype=float32), 'Mean Episode Length': Array(49.139713, dtype=float32)} step=6041600
{'Mean Episode Return': Array(13.6373825, dtype=float32), 'Mean Episode Length': Array(49.01385, dtype=float32)} step=6092800
{'Mean Episode Return': Array(13.96992, dtype=float32), 'Mean Episode Length': Array(48.014355, dtype=float32)} step=6144000
{'Mean Episode Return': Array(14.51242, dtype=float32), 'Mean Episode Length': Array(48.00832, dtype=float32)} step=6195200
{'Mean Episode Return': Array(14.837929, dtype=float32), 'Mean Episode Length': Array(48.137596, dtype=float32)} step=6246400
{'Mean Episode Return': Array(14.735207, dtype=float32), 'Mean Episode Length': Array(48.82403, dtype=float32)} step=6297600
{'Mean Episode Return': Array(13.943583, dtype=float32), 'Mean Episode Length': Array(48.995285, dtype=float32)} step=6348800
{'Mean Episode Return': Array(14.660648, dtype=float32), 'Mean Episode Length': Array(48.229088, dtype=float32)} step=6400000
{'Mean Episode Return': Array(13.8530655, dtype=float32), 'Mean Episode Length': Array(47.651688, dtype=float32)} step=6451200
{'Mean Episode Return': Array(12.178482, dtype=float32), 'Mean Episode Length': Array(46.552036, dtype=float32)} step=6502400
{'Mean Episode Return': Array(11.954622, dtype=float32), 'Mean Episode Length': Array(47.750233, dtype=float32)} step=6553600
{'Mean Episode Return': Array(13.532374, dtype=float32), 'Mean Episode Length': Array(47.253002, dtype=float32)} step=6604800
{'Mean Episode Return': Array(14.179845, dtype=float32), 'Mean Episode Length': Array(48.123135, dtype=float32)} step=6656000
{'Mean Episode Return': Array(14.583917, dtype=float32), 'Mean Episode Length': Array(47.539757, dtype=float32)} step=6707200
{'Mean Episode Return': Array(15.299246, dtype=float32), 'Mean Episode Length': Array(48.391674, dtype=float32)} step=6758400
{'Mean Episode Return': Array(15.424896, dtype=float32), 'Mean Episode Length': Array(48.213814, dtype=float32)} step=6809600
{'Mean Episode Return': Array(15.822878, dtype=float32), 'Mean Episode Length': Array(49.26621, dtype=float32)} step=6860800
{'Mean Episode Return': Array(15.945322, dtype=float32), 'Mean Episode Length': Array(49.051575, dtype=float32)} step=6912000
{'Mean Episode Return': Array(16.351414, dtype=float32), 'Mean Episode Length': Array(49.955708, dtype=float32)} step=6963200
{'Mean Episode Return': Array(16.763275, dtype=float32), 'Mean Episode Length': Array(50.14341, dtype=float32)} step=7014400
{'Mean Episode Return': Array(17.246641, dtype=float32), 'Mean Episode Length': Array(51.167843, dtype=float32)} step=7065600
{'Mean Episode Return': Array(17.088533, dtype=float32), 'Mean Episode Length': Array(51.479145, dtype=float32)} step=7116800
{'Mean Episode Return': Array(17.355791, dtype=float32), 'Mean Episode Length': Array(51.754078, dtype=float32)} step=7168000
{'Mean Episode Return': Array(17.254578, dtype=float32), 'Mean Episode Length': Array(52.882725, dtype=float32)} step=7219200
{'Mean Episode Return': Array(17.724802, dtype=float32), 'Mean Episode Length': Array(53.177685, dtype=float32)} step=7270400
{'Mean Episode Return': Array(17.90386, dtype=float32), 'Mean Episode Length': Array(52.681915, dtype=float32)} step=7321600
{'Mean Episode Return': Array(18.108873, dtype=float32), 'Mean Episode Length': Array(52.78167, dtype=float32)} step=7372800
{'Mean Episode Return': Array(18.423052, dtype=float32), 'Mean Episode Length': Array(52.546585, dtype=float32)} step=7424000
{'Mean Episode Return': Array(18.4515, dtype=float32), 'Mean Episode Length': Array(52.52129, dtype=float32)} step=7475200
{'Mean Episode Return': Array(18.765856, dtype=float32), 'Mean Episode Length': Array(53.90803, dtype=float32)} step=7526400
{'Mean Episode Return': Array(18.96102, dtype=float32), 'Mean Episode Length': Array(54.233017, dtype=float32)} step=7577600
{'Mean Episode Return': Array(19.218166, dtype=float32), 'Mean Episode Length': Array(54.57957, dtype=float32)} step=7628800
{'Mean Episode Return': Array(19.091118, dtype=float32), 'Mean Episode Length': Array(54.42013, dtype=float32)} step=7680000
{'Mean Episode Return': Array(19.1861, dtype=float32), 'Mean Episode Length': Array(55.171547, dtype=float32)} step=7731200
{'Mean Episode Return': Array(19.13998, dtype=float32), 'Mean Episode Length': Array(54.50107, dtype=float32)} step=7782400
{'Mean Episode Return': Array(19.318129, dtype=float32), 'Mean Episode Length': Array(54.83731, dtype=float32)} step=7833600
{'Mean Episode Return': Array(19.772655, dtype=float32), 'Mean Episode Length': Array(56.130527, dtype=float32)} step=7884800
{'Mean Episode Return': Array(19.780983, dtype=float32), 'Mean Episode Length': Array(54.839573, dtype=float32)} step=7936000
{'Mean Episode Return': Array(19.771248, dtype=float32), 'Mean Episode Length': Array(55.09989, dtype=float32)} step=7987200
{'Mean Episode Return': Array(19.947418, dtype=float32), 'Mean Episode Length': Array(55.123936, dtype=float32)} step=8038400
{'Mean Episode Return': Array(20.311234, dtype=float32), 'Mean Episode Length': Array(55.931366, dtype=float32)} step=8089600
{'Mean Episode Return': Array(20.364594, dtype=float32), 'Mean Episode Length': Array(55.227325, dtype=float32)} step=8140800
{'Mean Episode Return': Array(20.70948, dtype=float32), 'Mean Episode Length': Array(56.336346, dtype=float32)} step=8192000
{'Mean Episode Return': Array(21.022198, dtype=float32), 'Mean Episode Length': Array(56.620155, dtype=float32)} step=8243200
{'Mean Episode Return': Array(21.028248, dtype=float32), 'Mean Episode Length': Array(55.95223, dtype=float32)} step=8294400
{'Mean Episode Return': Array(20.872309, dtype=float32), 'Mean Episode Length': Array(56.204544, dtype=float32)} step=8345600
{'Mean Episode Return': Array(21.115265, dtype=float32), 'Mean Episode Length': Array(56.031708, dtype=float32)} step=8396800
{'Mean Episode Return': Array(21.351566, dtype=float32), 'Mean Episode Length': Array(57.67002, dtype=float32)} step=8448000
{'Mean Episode Return': Array(21.204275, dtype=float32), 'Mean Episode Length': Array(56.61678, dtype=float32)} step=8499200
{'Mean Episode Return': Array(21.248878, dtype=float32), 'Mean Episode Length': Array(58.905727, dtype=float32)} step=8550400
{'Mean Episode Return': Array(21.54619, dtype=float32), 'Mean Episode Length': Array(58.241535, dtype=float32)} step=8601600
{'Mean Episode Return': Array(21.486113, dtype=float32), 'Mean Episode Length': Array(57.939465, dtype=float32)} step=8652800
{'Mean Episode Return': Array(21.52006, dtype=float32), 'Mean Episode Length': Array(58.3705, dtype=float32)} step=8704000
{'Mean Episode Return': Array(21.505266, dtype=float32), 'Mean Episode Length': Array(57.78403, dtype=float32)} step=8755200
{'Mean Episode Return': Array(21.683062, dtype=float32), 'Mean Episode Length': Array(58.995422, dtype=float32)} step=8806400
{'Mean Episode Return': Array(21.655615, dtype=float32), 'Mean Episode Length': Array(58.14634, dtype=float32)} step=8857600
{'Mean Episode Return': Array(21.819742, dtype=float32), 'Mean Episode Length': Array(57.938618, dtype=float32)} step=8908800
{'Mean Episode Return': Array(21.716883, dtype=float32), 'Mean Episode Length': Array(58.07424, dtype=float32)} step=8960000
{'Mean Episode Return': Array(21.8606, dtype=float32), 'Mean Episode Length': Array(58.38073, dtype=float32)} step=9011200
{'Mean Episode Return': Array(22.22244, dtype=float32), 'Mean Episode Length': Array(57.968895, dtype=float32)} step=9062400
{'Mean Episode Return': Array(22.215246, dtype=float32), 'Mean Episode Length': Array(58.908047, dtype=float32)} step=9113600
{'Mean Episode Return': Array(22.643206, dtype=float32), 'Mean Episode Length': Array(60.106636, dtype=float32)} step=9164800
{'Mean Episode Return': Array(22.628447, dtype=float32), 'Mean Episode Length': Array(59.24115, dtype=float32)} step=9216000
{'Mean Episode Return': Array(22.81492, dtype=float32), 'Mean Episode Length': Array(58.534607, dtype=float32)} step=9267200
{'Mean Episode Return': Array(23.204145, dtype=float32), 'Mean Episode Length': Array(60.34149, dtype=float32)} step=9318400
{'Mean Episode Return': Array(23.084663, dtype=float32), 'Mean Episode Length': Array(59.935486, dtype=float32)} step=9369600
{'Mean Episode Return': Array(23.009209, dtype=float32), 'Mean Episode Length': Array(60.60261, dtype=float32)} step=9420800
{'Mean Episode Return': Array(23.306562, dtype=float32), 'Mean Episode Length': Array(61.69878, dtype=float32)} step=9472000
{'Mean Episode Return': Array(23.447144, dtype=float32), 'Mean Episode Length': Array(62.393543, dtype=float32)} step=9523200
{'Mean Episode Return': Array(23.11703, dtype=float32), 'Mean Episode Length': Array(61.835396, dtype=float32)} step=9574400
{'Mean Episode Return': Array(23.349905, dtype=float32), 'Mean Episode Length': Array(61.55107, dtype=float32)} step=9625600
{'Mean Episode Return': Array(23.294243, dtype=float32), 'Mean Episode Length': Array(61.94832, dtype=float32)} step=9676800
{'Mean Episode Return': Array(23.30328, dtype=float32), 'Mean Episode Length': Array(61.93342, dtype=float32)} step=9728000
{'Mean Episode Return': Array(23.552776, dtype=float32), 'Mean Episode Length': Array(61.3561, dtype=float32)} step=9779200
{'Mean Episode Return': Array(23.523983, dtype=float32), 'Mean Episode Length': Array(61.577568, dtype=float32)} step=9830400
{'Mean Episode Return': Array(23.597988, dtype=float32), 'Mean Episode Length': Array(61.738815, dtype=float32)} step=9881600
{'Mean Episode Return': Array(23.964811, dtype=float32), 'Mean Episode Length': Array(62.53731, dtype=float32)} step=9932800
{'Mean Episode Return': Array(24.03297, dtype=float32), 'Mean Episode Length': Array(63.46782, dtype=float32)} step=9984000
{'Mean Episode Return': Array(24.149992, dtype=float32), 'Mean Episode Length': Array(63.992413, dtype=float32)} step=10035200
{'Mean Episode Return': Array(24.460611, dtype=float32), 'Mean Episode Length': Array(63.7539, dtype=float32)} step=10086400
{'Mean Episode Return': Array(24.113157, dtype=float32), 'Mean Episode Length': Array(62.953163, dtype=float32)} step=10137600
{'Mean Episode Return': Array(24.18568, dtype=float32), 'Mean Episode Length': Array(64.04369, dtype=float32)} step=10188800
{'Mean Episode Return': Array(24.358015, dtype=float32), 'Mean Episode Length': Array(62.915546, dtype=float32)} step=10240000
{'Mean Episode Return': Array(24.417974, dtype=float32), 'Mean Episode Length': Array(62.983562, dtype=float32)} step=10291200
{'Mean Episode Return': Array(24.540438, dtype=float32), 'Mean Episode Length': Array(63.22761, dtype=float32)} step=10342400
{'Mean Episode Return': Array(24.661137, dtype=float32), 'Mean Episode Length': Array(63.389725, dtype=float32)} step=10393600
{'Mean Episode Return': Array(24.999256, dtype=float32), 'Mean Episode Length': Array(64.781525, dtype=float32)} step=10444800
{'Mean Episode Return': Array(25.47405, dtype=float32), 'Mean Episode Length': Array(64.30876, dtype=float32)} step=10496000
{'Mean Episode Return': Array(25.401087, dtype=float32), 'Mean Episode Length': Array(64.71631, dtype=float32)} step=10547200
{'Mean Episode Return': Array(25.257788, dtype=float32), 'Mean Episode Length': Array(63.780426, dtype=float32)} step=10598400
{'Mean Episode Return': Array(25.423786, dtype=float32), 'Mean Episode Length': Array(64.50437, dtype=float32)} step=10649600
{'Mean Episode Return': Array(25.171345, dtype=float32), 'Mean Episode Length': Array(63.75558, dtype=float32)} step=10700800
{'Mean Episode Return': Array(25.287645, dtype=float32), 'Mean Episode Length': Array(65.07228, dtype=float32)} step=10752000
{'Mean Episode Return': Array(25.80959, dtype=float32), 'Mean Episode Length': Array(67.248405, dtype=float32)} step=10803200
