{'Mean Episode Return': Array(22.835127, dtype=float32), 'Mean Episode Length': Array(54.75054, dtype=float32)} step=5683200
{'Mean Episode Return': Array(22.723425, dtype=float32), 'Mean Episode Length': Array(55.359524, dtype=float32)} step=5734400
{'Mean Episode Return': Array(22.880703, dtype=float32), 'Mean Episode Length': Array(55.18006, dtype=float32)} step=5785600
{'Mean Episode Return': Array(22.893988, dtype=float32), 'Mean Episode Length': Array(54.712334, dtype=float32)} step=5836800
{'Mean Episode Return': Array(23.286144, dtype=float32), 'Mean Episode Length': Array(54.961952, dtype=float32)} step=5888000
{'Mean Episode Return': Array(23.541712, dtype=float32), 'Mean Episode Length': Array(55.459934, dtype=float32)} step=5939200
{'Mean Episode Return': Array(23.642685, dtype=float32), 'Mean Episode Length': Array(56.086, dtype=float32)} step=5990400
{'Mean Episode Return': Array(23.838419, dtype=float32), 'Mean Episode Length': Array(56.34292, dtype=float32)} step=6041600
{'Mean Episode Return': Array(23.949434, dtype=float32), 'Mean Episode Length': Array(56.521736, dtype=float32)} step=6092800
{'Mean Episode Return': Array(23.862785, dtype=float32), 'Mean Episode Length': Array(55.71882, dtype=float32)} step=6144000
{'Mean Episode Return': Array(24.066874, dtype=float32), 'Mean Episode Length': Array(56.496693, dtype=float32)} step=6195200
{'Mean Episode Return': Array(24.030077, dtype=float32), 'Mean Episode Length': Array(56.465214, dtype=float32)} step=6246400
{'Mean Episode Return': Array(23.393187, dtype=float32), 'Mean Episode Length': Array(56.108437, dtype=float32)} step=6297600
{'Mean Episode Return': Array(24.059155, dtype=float32), 'Mean Episode Length': Array(56.725426, dtype=float32)} step=6348800
{'Mean Episode Return': Array(24.091883, dtype=float32), 'Mean Episode Length': Array(56.86199, dtype=float32)} step=6400000
{'Mean Episode Return': Array(24.55919, dtype=float32), 'Mean Episode Length': Array(58.370373, dtype=float32)} step=6451200
{'Mean Episode Return': Array(24.450974, dtype=float32), 'Mean Episode Length': Array(57.067192, dtype=float32)} step=6502400
{'Mean Episode Return': Array(25.04865, dtype=float32), 'Mean Episode Length': Array(58.424862, dtype=float32)} step=6553600
{'Mean Episode Return': Array(24.823349, dtype=float32), 'Mean Episode Length': Array(57.329884, dtype=float32)} step=6604800
{'Mean Episode Return': Array(24.865437, dtype=float32), 'Mean Episode Length': Array(58.90775, dtype=float32)} step=6656000
{'Mean Episode Return': Array(24.981394, dtype=float32), 'Mean Episode Length': Array(58.23903, dtype=float32)} step=6707200
{'Mean Episode Return': Array(25.310305, dtype=float32), 'Mean Episode Length': Array(58.69021, dtype=float32)} step=6758400
{'Mean Episode Return': Array(25.419798, dtype=float32), 'Mean Episode Length': Array(59.51522, dtype=float32)} step=6809600
{'Mean Episode Return': Array(25.325296, dtype=float32), 'Mean Episode Length': Array(58.83713, dtype=float32)} step=6860800
{'Mean Episode Return': Array(25.647776, dtype=float32), 'Mean Episode Length': Array(59.752064, dtype=float32)} step=6912000
{'Mean Episode Return': Array(25.830032, dtype=float32), 'Mean Episode Length': Array(60.3848, dtype=float32)} step=6963200
{'Mean Episode Return': Array(26.195566, dtype=float32), 'Mean Episode Length': Array(59.945915, dtype=float32)} step=7014400
{'Mean Episode Return': Array(26.398102, dtype=float32), 'Mean Episode Length': Array(60.370102, dtype=float32)} step=7065600
{'Mean Episode Return': Array(26.297728, dtype=float32), 'Mean Episode Length': Array(61.356716, dtype=float32)} step=7116800
{'Mean Episode Return': Array(26.648394, dtype=float32), 'Mean Episode Length': Array(62.232185, dtype=float32)} step=7168000
{'Mean Episode Return': Array(26.433006, dtype=float32), 'Mean Episode Length': Array(61.25481, dtype=float32)} step=7219200
{'Mean Episode Return': Array(26.64579, dtype=float32), 'Mean Episode Length': Array(61.867878, dtype=float32)} step=7270400
{'Mean Episode Return': Array(26.75371, dtype=float32), 'Mean Episode Length': Array(62.58374, dtype=float32)} step=7321600
{'Mean Episode Return': Array(26.750027, dtype=float32), 'Mean Episode Length': Array(62.214893, dtype=float32)} step=7372800
{'Mean Episode Return': Array(27.08517, dtype=float32), 'Mean Episode Length': Array(62.82173, dtype=float32)} step=7424000
{'Mean Episode Return': Array(27.07213, dtype=float32), 'Mean Episode Length': Array(62.810234, dtype=float32)} step=7475200
{'Mean Episode Return': Array(26.826181, dtype=float32), 'Mean Episode Length': Array(62.497597, dtype=float32)} step=7526400
{'Mean Episode Return': Array(26.92649, dtype=float32), 'Mean Episode Length': Array(62.874847, dtype=float32)} step=7577600
{'Mean Episode Return': Array(25.759335, dtype=float32), 'Mean Episode Length': Array(61.795944, dtype=float32)} step=7628800
{'Mean Episode Return': Array(21.980898, dtype=float32), 'Mean Episode Length': Array(58.31952, dtype=float32)} step=7680000
{'Mean Episode Return': Array(18.981564, dtype=float32), 'Mean Episode Length': Array(55.094524, dtype=float32)} step=7731200
{'Mean Episode Return': Array(17.64291, dtype=float32), 'Mean Episode Length': Array(55.12329, dtype=float32)} step=7782400
{'Mean Episode Return': Array(15.738221, dtype=float32), 'Mean Episode Length': Array(53.10465, dtype=float32)} step=7833600
{'Mean Episode Return': Array(14.235584, dtype=float32), 'Mean Episode Length': Array(52.24747, dtype=float32)} step=7884800
{'Mean Episode Return': Array(14.93858, dtype=float32), 'Mean Episode Length': Array(53.21301, dtype=float32)} step=7936000
{'Mean Episode Return': Array(17.313341, dtype=float32), 'Mean Episode Length': Array(54.58351, dtype=float32)} step=7987200
{'Mean Episode Return': Array(19.618212, dtype=float32), 'Mean Episode Length': Array(55.780567, dtype=float32)} step=8038400
{'Mean Episode Return': Array(20.376568, dtype=float32), 'Mean Episode Length': Array(55.482685, dtype=float32)} step=8089600
{'Mean Episode Return': Array(20.560188, dtype=float32), 'Mean Episode Length': Array(56.245632, dtype=float32)} step=8140800
{'Mean Episode Return': Array(19.514881, dtype=float32), 'Mean Episode Length': Array(55.597652, dtype=float32)} step=8192000
{'Mean Episode Return': Array(15.668706, dtype=float32), 'Mean Episode Length': Array(53.132515, dtype=float32)} step=8243200
{'Mean Episode Return': Array(12.163685, dtype=float32), 'Mean Episode Length': Array(50.516033, dtype=float32)} step=8294400
{'Mean Episode Return': Array(11.711548, dtype=float32), 'Mean Episode Length': Array(50.119717, dtype=float32)} step=8345600
{'Mean Episode Return': Array(13.03414, dtype=float32), 'Mean Episode Length': Array(51.753017, dtype=float32)} step=8396800
{'Mean Episode Return': Array(13.380139, dtype=float32), 'Mean Episode Length': Array(52.37945, dtype=float32)} step=8448000
{'Mean Episode Return': Array(15.215863, dtype=float32), 'Mean Episode Length': Array(54.605206, dtype=float32)} step=8499200
{'Mean Episode Return': Array(16.083817, dtype=float32), 'Mean Episode Length': Array(55.658813, dtype=float32)} step=8550400
{'Mean Episode Return': Array(16.28609, dtype=float32), 'Mean Episode Length': Array(56.00987, dtype=float32)} step=8601600
{'Mean Episode Return': Array(16.773602, dtype=float32), 'Mean Episode Length': Array(56.345173, dtype=float32)} step=8652800
{'Mean Episode Return': Array(17.350647, dtype=float32), 'Mean Episode Length': Array(57.01762, dtype=float32)} step=8704000
{'Mean Episode Return': Array(16.531986, dtype=float32), 'Mean Episode Length': Array(54.96656, dtype=float32)} step=8755200
{'Mean Episode Return': Array(15.698887, dtype=float32), 'Mean Episode Length': Array(55.24286, dtype=float32)} step=8806400
{'Mean Episode Return': Array(13.912857, dtype=float32), 'Mean Episode Length': Array(54.62866, dtype=float32)} step=8857600
{'Mean Episode Return': Array(13.078255, dtype=float32), 'Mean Episode Length': Array(55.339867, dtype=float32)} step=8908800
{'Mean Episode Return': Array(14.530366, dtype=float32), 'Mean Episode Length': Array(55.860493, dtype=float32)} step=8960000
{'Mean Episode Return': Array(15.513786, dtype=float32), 'Mean Episode Length': Array(55.684715, dtype=float32)} step=9011200
{'Mean Episode Return': Array(16.16444, dtype=float32), 'Mean Episode Length': Array(55.329308, dtype=float32)} step=9062400
{'Mean Episode Return': Array(16.551016, dtype=float32), 'Mean Episode Length': Array(55., dtype=float32)} step=9113600
