{'Mean Episode Return': Array(22.028713, dtype=float32), 'Mean Episode Length': Array(66.914276, dtype=float32)} step=20480000
{'Mean Episode Return': Array(22.123638, dtype=float32), 'Mean Episode Length': Array(67.46877, dtype=float32)} step=20684800
{'Mean Episode Return': Array(21.922874, dtype=float32), 'Mean Episode Length': Array(66.16169, dtype=float32)} step=20889600
{'Mean Episode Return': Array(21.913328, dtype=float32), 'Mean Episode Length': Array(66.77333, dtype=float32)} step=21094400
{'Mean Episode Return': Array(22.318123, dtype=float32), 'Mean Episode Length': Array(67.103134, dtype=float32)} step=21299200
{'Mean Episode Return': Array(22.33522, dtype=float32), 'Mean Episode Length': Array(67.84831, dtype=float32)} step=21504000
{'Mean Episode Return': Array(22.230371, dtype=float32), 'Mean Episode Length': Array(66.79596, dtype=float32)} step=21708800
{'Mean Episode Return': Array(22.391628, dtype=float32), 'Mean Episode Length': Array(67.5719, dtype=float32)} step=21913600
{'Mean Episode Return': Array(22.46803, dtype=float32), 'Mean Episode Length': Array(67.25884, dtype=float32)} step=22118400
{'Mean Episode Return': Array(22.593235, dtype=float32), 'Mean Episode Length': Array(67.573425, dtype=float32)} step=22323200
{'Mean Episode Return': Array(22.310568, dtype=float32), 'Mean Episode Length': Array(66.59961, dtype=float32)} step=22528000
{'Mean Episode Return': Array(22.447407, dtype=float32), 'Mean Episode Length': Array(67.5612, dtype=float32)} step=22732800
{'Mean Episode Return': Array(22.592283, dtype=float32), 'Mean Episode Length': Array(68.15926, dtype=float32)} step=22937600
{'Mean Episode Return': Array(22.92499, dtype=float32), 'Mean Episode Length': Array(68.28413, dtype=float32)} step=23142400
{'Mean Episode Return': Array(22.801657, dtype=float32), 'Mean Episode Length': Array(68.43844, dtype=float32)} step=23347200
{'Mean Episode Return': Array(22.91489, dtype=float32), 'Mean Episode Length': Array(68.459595, dtype=float32)} step=23552000
{'Mean Episode Return': Array(22.402596, dtype=float32), 'Mean Episode Length': Array(67.93994, dtype=float32)} step=23756800
{'Mean Episode Return': Array(23.260773, dtype=float32), 'Mean Episode Length': Array(69.6319, dtype=float32)} step=23961600
{'Mean Episode Return': Array(22.542418, dtype=float32), 'Mean Episode Length': Array(68.34553, dtype=float32)} step=24166400
{'Mean Episode Return': Array(23.155594, dtype=float32), 'Mean Episode Length': Array(68.955956, dtype=float32)} step=24371200
{'Mean Episode Return': Array(23.211533, dtype=float32), 'Mean Episode Length': Array(69.319565, dtype=float32)} step=24576000
{'Mean Episode Return': Array(22.896772, dtype=float32), 'Mean Episode Length': Array(68.35911, dtype=float32)} step=24780800
{'Mean Episode Return': Array(23.07396, dtype=float32), 'Mean Episode Length': Array(68.995224, dtype=float32)} step=24985600
{'Mean Episode Return': Array(23.2488, dtype=float32), 'Mean Episode Length': Array(69.41639, dtype=float32)} step=25190400
{'Mean Episode Return': Array(22.93827, dtype=float32), 'Mean Episode Length': Array(68.168594, dtype=float32)} step=25395200
{'Mean Episode Return': Array(23.44499, dtype=float32), 'Mean Episode Length': Array(69.555664, dtype=float32)} step=25600000
{'Mean Episode Return': Array(22.913073, dtype=float32), 'Mean Episode Length': Array(68.01638, dtype=float32)} step=25804800
{'Mean Episode Return': Array(23.117844, dtype=float32), 'Mean Episode Length': Array(68.45088, dtype=float32)} step=26009600
{'Mean Episode Return': Array(23.445276, dtype=float32), 'Mean Episode Length': Array(69.983, dtype=float32)} step=26214400
{'Mean Episode Return': Array(23.492819, dtype=float32), 'Mean Episode Length': Array(69.05808, dtype=float32)} step=26419200
{'Mean Episode Return': Array(23.341679, dtype=float32), 'Mean Episode Length': Array(69.91876, dtype=float32)} step=26624000
{'Mean Episode Return': Array(23.058125, dtype=float32), 'Mean Episode Length': Array(68.42594, dtype=float32)} step=26828800
{'Mean Episode Return': Array(23.414602, dtype=float32), 'Mean Episode Length': Array(69.34508, dtype=float32)} step=27033600
{'Mean Episode Return': Array(23.11286, dtype=float32), 'Mean Episode Length': Array(68.429245, dtype=float32)} step=27238400
{'Mean Episode Return': Array(23.275145, dtype=float32), 'Mean Episode Length': Array(68.715195, dtype=float32)} step=27443200
{'Mean Episode Return': Array(23.026005, dtype=float32), 'Mean Episode Length': Array(68.47234, dtype=float32)} step=27648000
{'Mean Episode Return': Array(23.685272, dtype=float32), 'Mean Episode Length': Array(69.8193, dtype=float32)} step=27852800
{'Mean Episode Return': Array(23.152117, dtype=float32), 'Mean Episode Length': Array(68.652115, dtype=float32)} step=28057600
{'Mean Episode Return': Array(23.574306, dtype=float32), 'Mean Episode Length': Array(69.769966, dtype=float32)} step=28262400
