{'Mean Episode Return': Array(29.49258, dtype=float32), 'Mean Episode Length': Array(72.080345, dtype=float32)} step=8192000
{'Mean Episode Return': Array(30.296024, dtype=float32), 'Mean Episode Length': Array(74.35559, dtype=float32)} step=8243200
{'Mean Episode Return': Array(30.509312, dtype=float32), 'Mean Episode Length': Array(74.005775, dtype=float32)} step=8294400
{'Mean Episode Return': Array(30.336481, dtype=float32), 'Mean Episode Length': Array(74.12017, dtype=float32)} step=8345600
{'Mean Episode Return': Array(30.824472, dtype=float32), 'Mean Episode Length': Array(73.93805, dtype=float32)} step=8396800
{'Mean Episode Return': Array(31.638128, dtype=float32), 'Mean Episode Length': Array(75.80996, dtype=float32)} step=8448000
{'Mean Episode Return': Array(30.3208, dtype=float32), 'Mean Episode Length': Array(74.92518, dtype=float32)} step=8499200
{'Mean Episode Return': Array(30.267738, dtype=float32), 'Mean Episode Length': Array(73.80595, dtype=float32)} step=8550400
{'Mean Episode Return': Array(29.315393, dtype=float32), 'Mean Episode Length': Array(72.155495, dtype=float32)} step=8601600
{'Mean Episode Return': Array(29.542208, dtype=float32), 'Mean Episode Length': Array(72.49786, dtype=float32)} step=8652800
{'Mean Episode Return': Array(30.002584, dtype=float32), 'Mean Episode Length': Array(73.3383, dtype=float32)} step=8704000
{'Mean Episode Return': Array(31.438852, dtype=float32), 'Mean Episode Length': Array(76.86637, dtype=float32)} step=8755200
{'Mean Episode Return': Array(30.91807, dtype=float32), 'Mean Episode Length': Array(75.836365, dtype=float32)} step=8806400
{'Mean Episode Return': Array(31.550426, dtype=float32), 'Mean Episode Length': Array(77.360176, dtype=float32)} step=8857600
{'Mean Episode Return': Array(30.889368, dtype=float32), 'Mean Episode Length': Array(76.62146, dtype=float32)} step=8908800
{'Mean Episode Return': Array(30.807724, dtype=float32), 'Mean Episode Length': Array(75.59942, dtype=float32)} step=8960000
{'Mean Episode Return': Array(30.306665, dtype=float32), 'Mean Episode Length': Array(74.5549, dtype=float32)} step=9011200
{'Mean Episode Return': Array(30.46343, dtype=float32), 'Mean Episode Length': Array(74.604385, dtype=float32)} step=9062400
{'Mean Episode Return': Array(30.675014, dtype=float32), 'Mean Episode Length': Array(75.25872, dtype=float32)} step=9113600
{'Mean Episode Return': Array(31.377344, dtype=float32), 'Mean Episode Length': Array(76.78226, dtype=float32)} step=9164800
{'Mean Episode Return': Array(32.670723, dtype=float32), 'Mean Episode Length': Array(79.19792, dtype=float32)} step=9216000
{'Mean Episode Return': Array(31.429497, dtype=float32), 'Mean Episode Length': Array(77.43585, dtype=float32)} step=9267200
{'Mean Episode Return': Array(32.843616, dtype=float32), 'Mean Episode Length': Array(79.39352, dtype=float32)} step=9318400
{'Mean Episode Return': Array(31.412592, dtype=float32), 'Mean Episode Length': Array(76.74963, dtype=float32)} step=9369600
{'Mean Episode Return': Array(30.733805, dtype=float32), 'Mean Episode Length': Array(76.37021, dtype=float32)} step=9420800
{'Mean Episode Return': Array(30.21325, dtype=float32), 'Mean Episode Length': Array(75.94907, dtype=float32)} step=9472000
