{'Mean Episode Return': Array(0.02245786, dtype=float32), 'Mean Episode Length': Array(66.96272, dtype=float32)} step=30720000
{'Mean Episode Return': Array(0.02245069, dtype=float32), 'Mean Episode Length': Array(66.79022, dtype=float32)} step=30924800
{'Mean Episode Return': Array(0.01954391, dtype=float32), 'Mean Episode Length': Array(66.1549, dtype=float32)} step=31129600
{'Mean Episode Return': Array(0.02303747, dtype=float32), 'Mean Episode Length': Array(67.17275, dtype=float32)} step=31334400
{'Mean Episode Return': Array(0.02184874, dtype=float32), 'Mean Episode Length': Array(67.52714, dtype=float32)} step=31539200
{'Mean Episode Return': Array(0.01912112, dtype=float32), 'Mean Episode Length': Array(68.28258, dtype=float32)} step=31744000
{'Mean Episode Return': Array(0.02059796, dtype=float32), 'Mean Episode Length': Array(66.924286, dtype=float32)} step=31948800
{'Mean Episode Return': Array(0.01866446, dtype=float32), 'Mean Episode Length': Array(68.25661, dtype=float32)} step=32153600
{'Mean Episode Return': Array(0.02025411, dtype=float32), 'Mean Episode Length': Array(67.3686, dtype=float32)} step=32358400
{'Mean Episode Return': Array(0.01789801, dtype=float32), 'Mean Episode Length': Array(67.44783, dtype=float32)} step=32563200
{'Mean Episode Return': Array(0.01794022, dtype=float32), 'Mean Episode Length': Array(66.29921, dtype=float32)} step=32768000
{'Mean Episode Return': Array(0.01771173, dtype=float32), 'Mean Episode Length': Array(65.954285, dtype=float32)} step=32972800
{'Mean Episode Return': Array(0.01925077, dtype=float32), 'Mean Episode Length': Array(65.529785, dtype=float32)} step=33177600
{'Mean Episode Return': Array(0.01833304, dtype=float32), 'Mean Episode Length': Array(64.71429, dtype=float32)} step=33382400
{'Mean Episode Return': Array(0.01671022, dtype=float32), 'Mean Episode Length': Array(65.67714, dtype=float32)} step=33587200
{'Mean Episode Return': Array(0.01646847, dtype=float32), 'Mean Episode Length': Array(66.179375, dtype=float32)} step=33792000
{'Mean Episode Return': Array(0.01616414, dtype=float32), 'Mean Episode Length': Array(64.93017, dtype=float32)} step=33996800
{'Mean Episode Return': Array(0.01480808, dtype=float32), 'Mean Episode Length': Array(63.692738, dtype=float32)} step=34201600
{'Mean Episode Return': Array(0.01349227, dtype=float32), 'Mean Episode Length': Array(63.32233, dtype=float32)} step=34406400
{'Mean Episode Return': Array(0.01310801, dtype=float32), 'Mean Episode Length': Array(63.657383, dtype=float32)} step=34611200
