{'Mean Episode Return': Array(2.2228744, dtype=float32), 'Mean Episode Length': Array(62.641182, dtype=float32)} step=4556800
{'Mean Episode Return': Array(2.2236161, dtype=float32), 'Mean Episode Length': Array(63.147095, dtype=float32)} step=4608000
{'Mean Episode Return': Array(2.223367, dtype=float32), 'Mean Episode Length': Array(63.11264, dtype=float32)} step=4659200
{'Mean Episode Return': Array(2.1660016, dtype=float32), 'Mean Episode Length': Array(63.846153, dtype=float32)} step=4710400
{'Mean Episode Return': Array(2.243097, dtype=float32), 'Mean Episode Length': Array(64.15006, dtype=float32)} step=4761600
{'Mean Episode Return': Array(2.2973068, dtype=float32), 'Mean Episode Length': Array(63.8027, dtype=float32)} step=4812800
{'Mean Episode Return': Array(2.1864874, dtype=float32), 'Mean Episode Length': Array(63.3213, dtype=float32)} step=4864000
{'Mean Episode Return': Array(2.2032275, dtype=float32), 'Mean Episode Length': Array(62.445145, dtype=float32)} step=4915200
{'Mean Episode Return': Array(2.3075023, dtype=float32), 'Mean Episode Length': Array(63.755203, dtype=float32)} step=4966400
{'Mean Episode Return': Array(2.2318046, dtype=float32), 'Mean Episode Length': Array(63.915924, dtype=float32)} step=5017600
{'Mean Episode Return': Array(2.302601, dtype=float32), 'Mean Episode Length': Array(64.57752, dtype=float32)} step=5068800
{'Mean Episode Return': Array(2.2926211, dtype=float32), 'Mean Episode Length': Array(65.044136, dtype=float32)} step=5120000
{'Mean Episode Return': Array(2.2633302, dtype=float32), 'Mean Episode Length': Array(64.562805, dtype=float32)} step=5171200
{'Mean Episode Return': Array(2.2937715, dtype=float32), 'Mean Episode Length': Array(62.749073, dtype=float32)} step=5222400
{'Mean Episode Return': Array(2.3084896, dtype=float32), 'Mean Episode Length': Array(64.00875, dtype=float32)} step=5273600
{'Mean Episode Return': Array(2.314814, dtype=float32), 'Mean Episode Length': Array(63.563637, dtype=float32)} step=5324800
{'Mean Episode Return': Array(2.2783237, dtype=float32), 'Mean Episode Length': Array(64.05959, dtype=float32)} step=5376000
{'Mean Episode Return': Array(2.3595145, dtype=float32), 'Mean Episode Length': Array(64.644005, dtype=float32)} step=5427200
{'Mean Episode Return': Array(2.3838263, dtype=float32), 'Mean Episode Length': Array(62.84165, dtype=float32)} step=5478400
{'Mean Episode Return': Array(2.2469888, dtype=float32), 'Mean Episode Length': Array(63.874065, dtype=float32)} step=5529600
{'Mean Episode Return': Array(2.2168217, dtype=float32), 'Mean Episode Length': Array(62.556763, dtype=float32)} step=5580800
{'Mean Episode Return': Array(2.301482, dtype=float32), 'Mean Episode Length': Array(62.23256, dtype=float32)} step=5632000
{'Mean Episode Return': Array(2.255462, dtype=float32), 'Mean Episode Length': Array(62.748196, dtype=float32)} step=5683200
{'Mean Episode Return': Array(2.2389665, dtype=float32), 'Mean Episode Length': Array(62.5377, dtype=float32)} step=5734400
{'Mean Episode Return': Array(2.3638358, dtype=float32), 'Mean Episode Length': Array(64.85052, dtype=float32)} step=5785600
{'Mean Episode Return': Array(2.2636805, dtype=float32), 'Mean Episode Length': Array(64.59606, dtype=float32)} step=5836800
{'Mean Episode Return': Array(2.381095, dtype=float32), 'Mean Episode Length': Array(63.478043, dtype=float32)} step=5888000
{'Mean Episode Return': Array(2.3318505, dtype=float32), 'Mean Episode Length': Array(64.532745, dtype=float32)} step=5939200
{'Mean Episode Return': Array(2.3140578, dtype=float32), 'Mean Episode Length': Array(64.44183, dtype=float32)} step=5990400
{'Mean Episode Return': Array(2.2954395, dtype=float32), 'Mean Episode Length': Array(64.16667, dtype=float32)} step=6041600
{'Mean Episode Return': Array(2.4175966, dtype=float32), 'Mean Episode Length': Array(63.917175, dtype=float32)} step=6092800
{'Mean Episode Return': Array(2.2230277, dtype=float32), 'Mean Episode Length': Array(64.65025, dtype=float32)} step=6144000
{'Mean Episode Return': Array(2.248907, dtype=float32), 'Mean Episode Length': Array(63.523212, dtype=float32)} step=6195200
{'Mean Episode Return': Array(2.3037364, dtype=float32), 'Mean Episode Length': Array(63.275486, dtype=float32)} step=6246400
{'Mean Episode Return': Array(2.3647795, dtype=float32), 'Mean Episode Length': Array(62.90423, dtype=float32)} step=6297600
{'Mean Episode Return': Array(2.3358579, dtype=float32), 'Mean Episode Length': Array(63.697582, dtype=float32)} step=6348800
{'Mean Episode Return': Array(2.2840066, dtype=float32), 'Mean Episode Length': Array(63.35122, dtype=float32)} step=6400000
{'Mean Episode Return': Array(2.2958982, dtype=float32), 'Mean Episode Length': Array(63.433216, dtype=float32)} step=6451200
{'Mean Episode Return': Array(2.3095407, dtype=float32), 'Mean Episode Length': Array(62.09726, dtype=float32)} step=6502400
{'Mean Episode Return': Array(2.3036988, dtype=float32), 'Mean Episode Length': Array(64.174126, dtype=float32)} step=6553600
{'Mean Episode Return': Array(2.2755418, dtype=float32), 'Mean Episode Length': Array(62.136806, dtype=float32)} step=6604800
{'Mean Episode Return': Array(2.3116887, dtype=float32), 'Mean Episode Length': Array(63.73383, dtype=float32)} step=6656000
{'Mean Episode Return': Array(2.1678972, dtype=float32), 'Mean Episode Length': Array(62.074467, dtype=float32)} step=6707200
{'Mean Episode Return': Array(2.2736673, dtype=float32), 'Mean Episode Length': Array(61.2818, dtype=float32)} step=6758400
{'Mean Episode Return': Array(2.3236132, dtype=float32), 'Mean Episode Length': Array(63.566017, dtype=float32)} step=6809600
{'Mean Episode Return': Array(2.2249818, dtype=float32), 'Mean Episode Length': Array(63.13038, dtype=float32)} step=6860800
{'Mean Episode Return': Array(2.2814183, dtype=float32), 'Mean Episode Length': Array(62.94601, dtype=float32)} step=6912000
{'Mean Episode Return': Array(2.2350762, dtype=float32), 'Mean Episode Length': Array(62.213272, dtype=float32)} step=6963200
{'Mean Episode Return': Array(2.2793846, dtype=float32), 'Mean Episode Length': Array(62.45828, dtype=float32)} step=7014400
{'Mean Episode Return': Array(2.2562866, dtype=float32), 'Mean Episode Length': Array(62.746532, dtype=float32)} step=7065600
{'Mean Episode Return': Array(2.2315412, dtype=float32), 'Mean Episode Length': Array(61.996468, dtype=float32)} step=7116800
{'Mean Episode Return': Array(2.2483354, dtype=float32), 'Mean Episode Length': Array(61.450428, dtype=float32)} step=7168000
{'Mean Episode Return': Array(2.3054576, dtype=float32), 'Mean Episode Length': Array(62.646782, dtype=float32)} step=7219200
{'Mean Episode Return': Array(2.2488892, dtype=float32), 'Mean Episode Length': Array(60.9101, dtype=float32)} step=7270400
