{'Mean Episode Return': Array(21.703749, dtype=float32), 'Mean Episode Length': Array(69.91189, dtype=float32)} step=29081600
{'Mean Episode Return': Array(21.674936, dtype=float32), 'Mean Episode Length': Array(70.453476, dtype=float32)} step=29286400
{'Mean Episode Return': Array(21.838926, dtype=float32), 'Mean Episode Length': Array(70.71438, dtype=float32)} step=29491200
{'Mean Episode Return': Array(22.00891, dtype=float32), 'Mean Episode Length': Array(70.468956, dtype=float32)} step=29696000
{'Mean Episode Return': Array(21.598875, dtype=float32), 'Mean Episode Length': Array(69.38741, dtype=float32)} step=29900800
{'Mean Episode Return': Array(21.878826, dtype=float32), 'Mean Episode Length': Array(70.13842, dtype=float32)} step=30105600
{'Mean Episode Return': Array(21.906387, dtype=float32), 'Mean Episode Length': Array(70.0865, dtype=float32)} step=30310400
{'Mean Episode Return': Array(21.59171, dtype=float32), 'Mean Episode Length': Array(69.45075, dtype=float32)} step=30515200
{'Mean Episode Return': Array(21.99317, dtype=float32), 'Mean Episode Length': Array(70.44475, dtype=float32)} step=30720000
{'Mean Episode Return': Array(21.937662, dtype=float32), 'Mean Episode Length': Array(70.548836, dtype=float32)} step=30924800
{'Mean Episode Return': Array(21.634829, dtype=float32), 'Mean Episode Length': Array(69.29977, dtype=float32)} step=31129600
{'Mean Episode Return': Array(21.530502, dtype=float32), 'Mean Episode Length': Array(68.556335, dtype=float32)} step=31334400
{'Mean Episode Return': Array(21.784609, dtype=float32), 'Mean Episode Length': Array(69.390144, dtype=float32)} step=31539200
{'Mean Episode Return': Array(21.934921, dtype=float32), 'Mean Episode Length': Array(70.3474, dtype=float32)} step=31744000
{'Mean Episode Return': Array(22.490273, dtype=float32), 'Mean Episode Length': Array(72.15741, dtype=float32)} step=31948800
{'Mean Episode Return': Array(22.13273, dtype=float32), 'Mean Episode Length': Array(70.05685, dtype=float32)} step=32153600
{'Mean Episode Return': Array(22.013384, dtype=float32), 'Mean Episode Length': Array(70.32193, dtype=float32)} step=32358400
{'Mean Episode Return': Array(22.159578, dtype=float32), 'Mean Episode Length': Array(70.80792, dtype=float32)} step=32563200
{'Mean Episode Return': Array(22.124058, dtype=float32), 'Mean Episode Length': Array(70.700455, dtype=float32)} step=32768000
{'Mean Episode Return': Array(22.43902, dtype=float32), 'Mean Episode Length': Array(71.761314, dtype=float32)} step=32972800
{'Mean Episode Return': Array(22.270372, dtype=float32), 'Mean Episode Length': Array(71.12278, dtype=float32)} step=33177600
{'Mean Episode Return': Array(22.239983, dtype=float32), 'Mean Episode Length': Array(71.594086, dtype=float32)} step=33382400
{'Mean Episode Return': Array(22.047766, dtype=float32), 'Mean Episode Length': Array(70.78678, dtype=float32)} step=33587200
{'Mean Episode Return': Array(22.524752, dtype=float32), 'Mean Episode Length': Array(71.876625, dtype=float32)} step=33792000
{'Mean Episode Return': Array(22.063822, dtype=float32), 'Mean Episode Length': Array(70.53324, dtype=float32)} step=33996800
{'Mean Episode Return': Array(22.161839, dtype=float32), 'Mean Episode Length': Array(69.864006, dtype=float32)} step=34201600
{'Mean Episode Return': Array(22.261217, dtype=float32), 'Mean Episode Length': Array(70.26035, dtype=float32)} step=34406400
{'Mean Episode Return': Array(22.279478, dtype=float32), 'Mean Episode Length': Array(71.14793, dtype=float32)} step=34611200
{'Mean Episode Return': Array(22.086626, dtype=float32), 'Mean Episode Length': Array(70.482376, dtype=float32)} step=34816000
