Timestep,mot_shoulder_flex_r,mot_shoulder_add_r,mot_shoulder_rot_r,mot_elbow_flex_r,mot_pro_sup_r,mot_wrist_flex_r,mot_wrist_dev_r,mot_shoulder_flex_l,mot_shoulder_add_l,mot_shoulder_rot_l,mot_elbow_flex_l,mot_pro_sup_l,mot_wrist_flex_l,mot_wrist_dev_l
586,5.255273,-6.1361527,-3.4447734,6.9893646,32.74327,-2.446686,9.108193,5.9946985,7.6103554,5.5266514,5.675593,28.501623,-9.284141,12.304835
587,-2.7199366,3.5772145,0.9953167,4.6874185,32.828117,-2.4889913,9.299655,2.0619087,12.022625,10.6490965,-0.062213913,29.805597,-9.755006,12.651345
588,-8.5945015,7.5260615,0.5673091,1.7727283,31.497213,-2.2752028,9.706764,-3.9553916,-8.089204,-6.628734,6.3849907,29.338196,-9.109734,12.296113
589,-11.542204,8.179276,4.8775935,-0.19406453,30.208462,-2.8786085,10.077942,-5.7108054,-17.8233,-5.6859765,1.5349815,29.786053,-8.3449,12.515571
590,-17.168764,-9.415286,-0.9248454,-2.845776,31.07267,-2.9690602,9.22394,3.9562736,-12.924186,-3.9146357,1.8597058,30.13481,-8.468187,12.119659
591,-24.885456,6.912109,5.3860474,-6.475856,32.26445,-3.0125215,9.546364,-4.1679673,-5.322959,-1.7451744,-0.20705804,30.72469,-8.624727,12.306067
592,-18.95838,17.568518,5.6033673,-1.4369571,32.54824,-3.537164,8.716389,-9.6990385,0.40348795,0.883909,4.6538544,28.918985,-8.050647,11.448199
593,-26.819876,16.220104,7.044864,-3.3050928,31.838566,-5.045593,8.403344,6.7245855,-12.651463,-8.139268,0.7913978,27.659933,-8.172929,10.772452
594,-8.50934,-8.004313,-2.03108,-3.826651,33.05091,-5.205499,8.032396,-5.297171,10.603906,0.22163424,0.9731955,28.197964,-8.772624,10.951949
595,-10.576783,-4.5514727,-1.5941316,-1.9825611,33.693886,-5.3967214,8.007044,-2.3230038,8.57847,-2.8151019,6.8514915,26.79991,-8.700783,10.890564
596,-17.136477,-0.587443,2.5989437,-0.11314261,32.42228,-4.910604,7.987529,-7.0438843,-13.745726,-2.5780513,4.7499976,27.130278,-8.997342,10.9002495
597,-7.166447,-2.6256416,0.4554446,-1.3142253,32.66262,-5.1649437,8.263461,-9.077772,-0.16052704,-0.8557066,2.7595394,27.353502,-8.920856,10.919646
598,1.1745118,-8.142855,-1.7496874,0.5525746,33.795895,-5.359332,8.115588,-10.206483,6.9916787,-0.10599043,2.0882883,26.980528,-8.545585,11.059436
599,5.99813,-11.937417,-2.1925385,2.6409378,33.884243,-5.1587152,7.8135633,-6.7874794,-6.442555,-1.8563548,4.1190405,26.45922,-8.585315,10.962386
