{'Mean Episode Return': Array(33.415554, dtype=float32), 'Mean Episode Length': Array(69.76511, dtype=float32)} step=5068800
{'Mean Episode Return': Array(33.46765, dtype=float32), 'Mean Episode Length': Array(70.38967, dtype=float32)} step=5120000
{'Mean Episode Return': Array(34.455597, dtype=float32), 'Mean Episode Length': Array(71.85282, dtype=float32)} step=5171200
{'Mean Episode Return': Array(34.987797, dtype=float32), 'Mean Episode Length': Array(71.30935, dtype=float32)} step=5222400
{'Mean Episode Return': Array(35.022606, dtype=float32), 'Mean Episode Length': Array(71.65485, dtype=float32)} step=5273600
{'Mean Episode Return': Array(34.60853, dtype=float32), 'Mean Episode Length': Array(71.06539, dtype=float32)} step=5324800
{'Mean Episode Return': Array(34.69271, dtype=float32), 'Mean Episode Length': Array(70.75, dtype=float32)} step=5376000
{'Mean Episode Return': Array(34.986984, dtype=float32), 'Mean Episode Length': Array(72.32169, dtype=float32)} step=5427200
{'Mean Episode Return': Array(35.32337, dtype=float32), 'Mean Episode Length': Array(72.92993, dtype=float32)} step=5478400
{'Mean Episode Return': Array(36.346653, dtype=float32), 'Mean Episode Length': Array(75.690056, dtype=float32)} step=5529600
{'Mean Episode Return': Array(35.51555, dtype=float32), 'Mean Episode Length': Array(75.53503, dtype=float32)} step=5580800
{'Mean Episode Return': Array(35.323288, dtype=float32), 'Mean Episode Length': Array(74.53256, dtype=float32)} step=5632000
{'Mean Episode Return': Array(36.81705, dtype=float32), 'Mean Episode Length': Array(77.159164, dtype=float32)} step=5683200
{'Mean Episode Return': Array(37.421997, dtype=float32), 'Mean Episode Length': Array(76.37627, dtype=float32)} step=5734400
{'Mean Episode Return': Array(36.76972, dtype=float32), 'Mean Episode Length': Array(76.086235, dtype=float32)} step=5785600
{'Mean Episode Return': Array(36.263992, dtype=float32), 'Mean Episode Length': Array(75.600876, dtype=float32)} step=5836800
{'Mean Episode Return': Array(36.171257, dtype=float32), 'Mean Episode Length': Array(75.01709, dtype=float32)} step=5888000
{'Mean Episode Return': Array(35.83819, dtype=float32), 'Mean Episode Length': Array(74.003044, dtype=float32)} step=5939200
{'Mean Episode Return': Array(36.743393, dtype=float32), 'Mean Episode Length': Array(75.58515, dtype=float32)} step=5990400
{'Mean Episode Return': Array(35.96908, dtype=float32), 'Mean Episode Length': Array(75.416664, dtype=float32)} step=6041600
{'Mean Episode Return': Array(36.720016, dtype=float32), 'Mean Episode Length': Array(76.320404, dtype=float32)} step=6092800
{'Mean Episode Return': Array(36.310825, dtype=float32), 'Mean Episode Length': Array(75.94239, dtype=float32)} step=6144000
{'Mean Episode Return': Array(36.993896, dtype=float32), 'Mean Episode Length': Array(76.477066, dtype=float32)} step=6195200
{'Mean Episode Return': Array(37.359642, dtype=float32), 'Mean Episode Length': Array(77.66362, dtype=float32)} step=6246400
{'Mean Episode Return': Array(36.430157, dtype=float32), 'Mean Episode Length': Array(75.46888, dtype=float32)} step=6297600
{'Mean Episode Return': Array(35.975117, dtype=float32), 'Mean Episode Length': Array(74.518845, dtype=float32)} step=6348800
